Name,Rating,Reviews,Category,Address,Website,Phone,Email,Url
"SmileDent Dental Center","5.0","7","Dental clinic","Third Floor CDN Plaza",https://smiledent.co.ke/,"0748 969945","smiledentcentre6@gmail.com
info@smiledent.co.ke","https://www.google.com/maps/place/SmileDent+Dental+Center/data=!4m7!3m6!1s0x18298d5a823ce6ad:0x31ca6bebe26077f5!8m2!3d-0.3047739!4d36.0799901!16s%2Fg%2F11qmrb1_zz!19sChIJreY8glqNKRgR9Xdg4utryjE?authuser=0&hl=en&rclk=1"
"Nomad dental Centre Nakuru","3.9","9","Dental clinic","Exodus plaza, Moi Rd, Nakuru",http://www.nomaddental.com/,"0712 742878","info@nomaddental.com
sales@nomaddental.com","https://www.google.com/maps/place/Nomad+dental+Centre+Nakuru/data=!4m7!3m6!1s0x18298d944b165381:0x7c75a9b353af58b7!8m2!3d-0.285591!4d36.0708115!16s%2Fg%2F11c6z1p56s!19sChIJgVMWS5SNKRgRt1ivU7OpdXw?authuser=0&hl=en&rclk=1"
"ROYAL SMILES DENTAL CLINIC - NAKURU","4.7","100","Dental clinic","Kenyatta Avenue - Pandit Nehru Rd CK Patel Building 5th Floor, Suite, 5A",https://www.royalsmilesclinic.com/,"0110 098527","info@royalsmilesclinic.com","https://www.google.com/maps/place/ROYAL+SMILES+DENTAL+CLINIC+-+NAKURU/data=!4m7!3m6!1s0x18298df28a9b8091:0xf221ee6529b9a275!8m2!3d-0.2834911!4d36.0738414!16s%2Fg%2F11lktpgpc3!19sChIJkYCbivKNKRgRdaK5KWXuIfI?authuser=0&hl=en&rclk=1"
"Nakuru Dental Centre","5.0","1","Dentist","Giddo Plaza shop, Harvester Rd, Nakuru",http://www.nakudent.com/,"0721 378488","support@nakudent.com
nakurudental@gmail.com","https://www.google.com/maps/place/Nakuru+Dental+Centre/data=!4m7!3m6!1s0x18298df51e6e2db1:0x5701a44c0d9a5a39!8m2!3d-0.2872434!4d36.0598809!16s%2Fg%2F11hf4rv0qf!19sChIJsS1uHvWNKRgROVqaDUykAVc?authuser=0&hl=en&rclk=1"
"Nakuru One Stop Dental Clinic","3.0","2","Dentist","P38F+54M, Nakuru",,"","None","https://www.google.com/maps/place/Nakuru+One+Stop+Dental+Clinic/data=!4m7!3m6!1s0x18298d9408e37e0b:0xc25e1c1da915ed8a!8m2!3d-0.2845276!4d36.0728104!16s%2Fg%2F1tmd9b16!19sChIJC37jCJSNKRgRiu0VqR0cXsI?authuser=0&hl=en&rclk=1"
"Deep White Dental Clinic","4.6","20","Dental clinic","Box 9466- 20112, Westside Mall, 2nd Floor, Kenyatta Avenue, Nakuru",https://deepwhite.co.ke/,"0729 993935","None","https://www.google.com/maps/place/Deep+White+Dental+Clinic/data=!4m7!3m6!1s0x18298dbf41e7218b:0xdb562e06a66756cb!8m2!3d-0.2874371!4d36.0640266!16s%2Fg%2F11b7gdq257!19sChIJiyHnQb-NKRgRy1ZnpgYuVts?authuser=0&hl=en&rclk=1"
"Carepointe Dental","5.0","10","Dental clinic","Golden Life Mall, 5th floor Nairobi Rd, Nakuru",https://carepointedental.co.ke/,"0712 294334","None","https://www.google.com/maps/place/Carepointe+Dental/data=!4m7!3m6!1s0x18298d422bfb5905:0x5cabbe3251810c30!8m2!3d-0.25164!4d35.971695!16s%2Fg%2F11rwrw6hym!19sChIJBVn7K0KNKRgRMAyBUTK-q1w?authuser=0&hl=en&rclk=1"
"The Dentist Ltd","4.9","16","Dental clinic","West Rd, Nakuru",https://www.thedentistltd.co.ke/,"0734 003111","info@thedentistltd.co.ke","https://www.google.com/maps/place/The+Dentist+Ltd/data=!4m7!3m6!1s0x18298db626d9338b:0x2c12e5121714b839!8m2!3d-0.2903431!4d36.0640617!16s%2Fg%2F11f9gr135x!19sChIJizPZJraNKRgRObgUFxLlEiw?authuser=0&hl=en&rclk=1"
"Elephant Dental Nakuru","3.7","3","Hospital","Kenyatta Ave, Nakuru",,"0791 633544","None","https://www.google.com/maps/place/Elephant+Dental+Nakuru/data=!4m7!3m6!1s0x18298d9b01a198bb:0xd6bf29f7c05497a7!8m2!3d-0.284954!4d36.0693387!16s%2Fg%2F11fq88486w!19sChIJu5ihAZuNKRgRp5dUwPcpv9Y?authuser=0&hl=en&rclk=1"
"Evergreen Dental Care","5.0","17","Dentist","Golden Life Mall, 7th Floor",,"0797 919060","None","https://www.google.com/maps/place/Evergreen+Dental+Care/data=!4m7!3m6!1s0x18298d86b9254c15:0x21ed49f071c64b0!8m2!3d-0.2885047!4d36.0494015!16s%2Fg%2F11t92qcdc2!19sChIJFUwluYaNKRgRsGQcB5_UHgI?authuser=0&hl=en&rclk=1"
"GenialCare Dental Suite","4.9","10","Dental clinic","Jennifer Riria Hub, Kipchoge Avenue, Tom Mboya St, Nakuru",https://www.genialcaredental.co.ke/,"0713 805499","None","https://www.google.com/maps/place/GenialCare+Dental+Suite/data=!4m7!3m6!1s0x18298dfba71cafad:0x3d602cd6d1e5dd32!8m2!3d-0.289136!4d36.0651569!16s%2Fg%2F11y42n1qpr!19sChIJra8cp_uNKRgRMt3l0dYsYD0?authuser=0&hl=en&rclk=1"
"SmileDent Dental Center","5.0","7","Dental clinic","Third Floor CDN Plaza",https://smiledent.co.ke/,"0748 969945","smiledentcentre6@gmail.com
info@smiledent.co.ke","https://www.google.com/maps/place/SmileDent+Dental+Center/data=!4m7!3m6!1s0x18298d5a823ce6ad:0x31ca6bebe26077f5!8m2!3d-0.3047739!4d36.0799901!16s%2Fg%2F11qmrb1_zz!19sChIJreY8glqNKRgR9Xdg4utryjE?authuser=0&hl=en&rclk=1"
"Mediheal Hospital Nakuru","3.7","14","","Nakuru",,"0735 000735","None","https://www.google.com/maps/place/Mediheal+Hospital+Nakuru/data=!4m7!3m6!1s0x1829926bbac47849:0xdf24f408e4138dbb!8m2!3d-0.2852039!4d36.1075692!16s%2Fg%2F11rn3vvjng!19sChIJSXjEumuSKRgRu40T5Aj0JN8?authuser=0&hl=en&rclk=1"
"ADVENT MED & DENT CARE CENTRE","3.8","6","Dental clinic","Polo Centre, 1st Floor, Nakuru",,"0707 745005","None","https://www.google.com/maps/place/ADVENT+MED+%26+DENT+CARE+CENTRE/data=!4m7!3m6!1s0x18298dbfa4f00001:0x7663d7701ec4e428!8m2!3d-0.2865005!4d36.0654288!16s%2Fg%2F11h8y4z0xl!19sChIJAQDwpL-NKRgRKOTEHnDXY3Y?authuser=0&hl=en&rclk=1"
"Naramat Medical & Dental clinic -Nakuru","","","Hospital","Shaabab, Nakuru West, Nakuru Town West, Nakuru",,"","None","https://www.google.com/maps/place/Naramat+Medical+%26+Dental+clinic+-Nakuru/data=!4m7!3m6!1s0x18298dd1a30babf1:0xa9aebffdefa345d1!8m2!3d-0.2970832!4d36.0530041!16s%2Fg%2F11h93fdbr1!19sChIJ8asLo9GNKRgR0UWj7_2_rqk?authuser=0&hl=en&rclk=1"
"Crown Dental Clinic","5.0","3","Dental clinic","15345 Nairobi - Nakuru Road",,"0788 718106","None","https://www.google.com/maps/place/Crown+Dental+Clinic/data=!4m7!3m6!1s0x18298d1eda0b9267:0x18ff0ed747f02c3b!8m2!3d-0.2979389!4d36.0708703!16s%2Fg%2F11q3f30cp_!19sChIJZ5IL2h6NKRgROyzwR9cO_xg?authuser=0&hl=en&rclk=1"
