Name,Phone
Celestial Dental Centre - Kamakis,0754 400500
"MediCross Medical Centre,Juja City Mall",0722 745722
Arrow Dental Thika,0740 187579
FLEX-DENT DENTAL CENTRE KAHAWA WEST,0714 983721
Gums and Smiles Dental Clinic,0705 593603
Baraka Smiles Dental Clinic,0745 200000
Baraka Smiles Dental Clinic,0745 200000
Heights Dental,0714 999004
Juja Road Hospital (Nairobi) shortest route,0799 997755
MAC Dental,0718 571515
Next Care Dental Studio,0746 290170
ROYAL SMILES DENTAL CLINIC LTD.,0708 042681
Vimak Dental Centre,0720 886030
Thika Dental Care Centre,067 20119
Relief Restore Recover Dental,0726 810196
St. Margaret dental care services,0725 520795
Daktari Wa Meno,0723 447201
Wankam Medical Clinic,0725 334404
Caremax Health Limited,0718 505038
Juja Modern Hospital & Maternity,0799 048242
Halal dental clinic,0742 374975
Arcade Dental Services,0722 576982
Merina dental clinic,0799 377359
Smiles And Grins Dental Ke (6th Floor Feruzi Towers),0113 207124
"Ruby Smiles Dental Clinic - Unicity Mall, near China Square",0717 361960
The Focus Hospital Dental clinic,0791 634564
St Margaret Medical Clinic,0721 627603
MAXIMAL DENTAL CLINIC,0746 159329
Dental Art Centre,0725 790818
Merina dental clinic,0799 377359
Pro Dental Clinic Thika,0703 650090
Kiambu Dental Care,0742 755057
St Francis Dental Services Kahawa Sukari,0722 997444
Kamident Dental Clinic,0706 262436
Tazama Dental Clinic,0722 694865
Dr. Karanja Kinyanjui,0721 404309
Smile line Dental clinic (ouchless Dental care),0724 676725
Dental Capital Clinic,0722 911825
"Ruby Smiles Dental Clinic - Unicity Mall, near China Square",0717 361960
Kings Dental Clinic,0715 738100
Super Dental Care,0737 461307
Zimma Dental Care,0726 486015
Elephant Dental - Githurai 45,0714 841801
Furaha Dental Services,0704 396395
Royal Dental Services,0707 590288
WAMKAN MEDICAL CENTRE,0725 334404
Divine Dental Services,0717 840824
Pasi Dental Clinic,0703 666785
"Dental Imaging Services, Kiambu",0711 292760
TanoCare Dental Clinic Ruiru,0720 964346
TanoCare Dental Clinic Ruiru,0720 964346
Dental house clinic,0728 461258
FLEX-DENT DENTAL CENTRE MARURUI/THOME,0714 983721
Dr. Wambui Warui Dental Surgeon,020 2307315
"DOCTORS PLAZA, RUIRU.",0710 305833
Gegocare Dental Clinic,0798 569878
Apex Specialist and Diagnostic Center,0758 175487
Liasam Dental clinic,0724 370896
Millennia Dental Centre,0790 400888
Pure Life Ventures,0718 109135
KARANJA,0733 765609
Afya Express Ltd,0703 435120
Wambui,0725 164860
Kahawa Wendani Dental Clinic,0726 405187
Ruai Dental Center,0720 912013
Guardian Dental Clinic,0715 641234
Victory Dental Care Centre,0702 658410
Githurai Dental Clinic,0714 078122
kilush,0768 500572
